FID,LON,LAT,STATION,Name
41102900,105.666667,34.9,Qin An                          ,秦安                          
41103800,105.683333,34.583333,Tian Shui                          ,天水                          
41103500,106.1256,35.6216,Long De                          ,隆德                          
41100600,107.05,34.3833,Lin Jiacun                        ,林家村                        
41100900,107.75,34.3,Wei Jiabao                        ,魏家堡                        
41100300,104.883333,34.733333,Wu Shan                          ,武山                          
